iter	Passed	Remaining
301	660	1526
302	662	1524
303	664	1521
304	666	1519
305	668	1516
306	670	1514
307	672	1511
308	674	1509
309	676	1506
310	678	1504
311	680	1501
312	684	1501
313	687	1502
314	689	1500
315	691	1497
316	694	1496
317	696	1494
318	698	1491
319	700	1489
320	702	1486
321	704	1483
322	706	1481
323	708	1478
324	710	1476
325	713	1474
326	715	1471
327	717	1469
328	719	1466
329	721	1463
330	723	1461
331	725	1459
332	727	1456
333	729	1454
334	731	1452
335	733	1449
336	735	1446
337	737	1444
338	739	1441
339	741	1439
340	743	1437
341	745	1434
342	747	1432
343	749	1429
344	751	1427
345	753	1424
346	755	1422
347	758	1420
348	763	1423
349	765	1421
350	767	1419
351	769	1416
352	771	1414
353	774	1413
354	777	1412
355	779	1409
356	781	1407
357	783	1404
358	785	1401
359	787	1399
360	789	1397
361	819	1443
362	820	1440
363	822	1436
364	823	1433
365	825	1429
366	827	1426
367	828	1422
368	830	1419
369	831	1415
370	833	1412
371	834	1408
372	835	1405
373	837	1401
374	838	1398
375	840	1394
376	842	1391
377	843	1388
378	845	1384
379	846	1381
380	848	1378
381	849	1374
382	851	1371
383	852	1368
384	854	1364
385	856	1361
386	857	1358
387	859	1355
388	860	1352
389	862	1348
390	863	1345
391	865	1342
392	867	1339
393	868	1336
394	870	1333
395	872	1330
396	873	1327
397	875	1324
398	877	1321
399	878	1318
400	880	1315
401	882	1312
402	883	1309
403	885	1306
404	887	1303
405	891	1304
406	893	1302
407	896	1300
408	897	1297
409	899	1294
410	901	1292
411	903	1289
412	905	1287
413	907	1284
414	909	1282
415	913	1282
416	916	1281
417	918	1278
418	920	1276
419	922	1273
420	924	1271
421	926	1268
422	928	1266
423	930	1264
424	932	1261
425	934	1259
426	936	1256
427	938	1254
428	940	1251
429	942	1249
430	944	1246
431	945	1243
432	947	1241
433	949	1238
434	951	1236
435	953	1234
436	955	1231
437	958	1229
438	960	1226
439	962	1224
440	964	1222
441	966	1220
442	968	1217
443	971	1216
444	973	1214
445	975	1212
446	977	1209
447	979	1207
448	981	1204
449	983	1202
450	985	1200
451	987	1197
452	990	1195
453	992	1193
454	994	1190
455	996	1188
456	998	1186
457	1000	1184
458	1002	1181
459	1004	1179
460	1006	1176
461	1008	1174
462	1010	1172
463	1012	1169
464	1014	1167
465	1016	1165
466	1018	1162
467	1020	1160
468	1022	1157
469	1024	1155
470	1026	1153
471	1028	1150
472	1030	1148
473	1032	1145
474	1034	1143
475	1036	1141
476	1038	1139
477	1041	1137
478	1043	1135
479	1045	1133
480	1047	1130
481	1049	1128
482	1052	1126
483	1054	1124
484	1056	1121
485	1058	1119
486	1060	1117
487	1062	1115
488	1064	1112
489	1066	1110
490	1068	1108
491	1070	1105
492	1072	1103
493	1074	1100
494	1076	1098
495	1078	1096
496	1081	1094
497	1083	1092
498	1085	1089
499	1087	1087
500	1089	1085
501	1091	1082
502	1094	1081
503	1096	1079
504	1098	1076
505	1100	1074
506	1102	1071
507	1104	1069
508	1106	1067
509	1108	1064
510	1110	1062
511	1112	1060
512	1114	1058
513	1116	1055
514	1118	1053
515	1122	1052
516	1124	1050
517	1126	1048
518	1128	1045
519	1130	1043
520	1132	1041
521	1135	1039
522	1137	1037
523	1138	1034
524	1140	1032
525	1143	1030
526	1145	1028
527	1147	1025
528	1149	1023
529	1151	1021
530	1153	1018
531	1155	1016
532	1157	1014
533	1159	1011
534	1161	1009
535	1163	1007
536	1166	1005
537	1168	1003
538	1172	1003
539	1174	1000
540	1177	998
541	1180	997
542	1182	995
543	1186	994
544	1188	992
545	1191	990
546	1193	988
547	1195	985
548	1197	983
549	1199	981
550	1201	978
551	1203	976
552	1205	974
553	1207	972
554	1209	969
555	1211	967
556	1213	965
557	1215	962
558	1217	960
559	1219	958
560	1221	955
561	1223	953
562	1225	951
563	1227	948
564	1229	946
565	1231	944
566	1233	942
567	1235	939
568	1237	937
569	1239	935
570	1241	932
571	1243	930
572	1245	928
573	1247	925
574	1250	924
575	1252	922
576	1254	919
577	1256	917
578	1258	915
579	1260	912
580	1263	910
581	1266	909
582	1268	907
583	1271	905
584	1273	903
585	1275	901
586	1277	898
587	1279	896
588	1283	895
589	1285	893
590	1287	890
591	1289	888
592	1291	886
593	1293	883
594	1295	881
595	1297	879
596	1299	877
597	1301	875
598	1303	872
599	1305	870
600	1308	868
601	1310	866
602	1312	864
603	1314	861
604	1316	859
605	1318	857
606	1320	854
607	1325	854
608	1327	852
609	1330	850
610	1332	848
611	1335	846
612	1337	844
613	1340	842
614	1343	841
615	1346	839
616	1348	837
617	1351	835
618	1353	833
619	1356	831
620	1358	829
621	1361	827
622	1364	825
623	1367	823
624	1369	821
625	1371	819
626	1374	817
627	1376	815
628	1378	812
629	1380	810
630	1383	808
631	1385	806
632	1387	804
633	1389	802
634	1391	800
635	1394	797
636	1396	795
637	1398	793
638	1400	790
639	1402	788
640	1404	786
641	1406	784
642	1408	781
643	1410	779
644	1412	777
645	1414	775
646	1416	772
647	1418	770
648	1421	768
649	1424	766
650	1426	764
651	1428	762
652	1430	759
653	1432	757
654	1434	755
655	1436	753
656	1438	750
657	1440	748
658	1442	746
659	1444	744
660	1446	741
661	1448	739
662	1450	737
663	1452	735
664	1454	732
665	1456	730
666	1458	728
667	1460	725
668	1462	723
669	1464	721
670	1466	719
671	1468	716
672	1470	714
673	1474	713
674	1476	710
675	1478	708
676	1480	706
677	1482	704
678	1484	701
679	1486	699
680	1488	697
681	1490	695
682	1493	693
683	1495	690
684	1497	688
685	1499	686
686	1502	684
687	1504	682
688	1506	679
689	1508	677
690	1510	675
691	1512	673
692	1514	670
693	1516	668
694	1518	666
695	1520	664
696	1522	661
697	1524	659
698	1526	657
699	1528	655
700	1530	652
701	1532	650
702	1534	648
703	1536	646
704	1538	643
705	1540	641
706	1542	639
707	1544	637
708	1547	635
709	1549	632
710	1551	630
711	1553	628
712	1555	626
713	1557	624
714	1559	621
715	1561	619
716	1563	617
717	1565	615
718	1567	612
719	1569	610
720	1572	608
721	1574	606
722	1576	603
723	1578	601
724	1580	599
725	1582	597
726	1584	594
727	1586	592
728	1588	590
729	1590	588
730	1592	585
731	1594	583
732	1596	581
733	1598	579
734	1601	577
735	1603	575
736	1605	572
737	1607	570
738	1609	568
739	1611	566
740	1613	563
741	1615	561
742	1617	559
743	1619	557
744	1621	554
745	1622	552
746	1625	550
747	1627	548
748	1629	546
749	1631	543
750	1633	541
751	1635	539
752	1637	537
753	1639	534
754	1641	532
755	1643	530
756	1646	528
757	1648	526
758	1650	523
759	1652	521
760	1654	519
761	1656	517
762	1658	515
763	1661	513
764	1663	510
765	1665	508
766	1667	506
767	1669	504
768	1671	501
769	1673	499
770	1675	497
771	1677	495
772	1679	493
773	1683	491
774	1685	489
775	1687	487
776	1689	484
777	1691	482
778	1693	480
779	1695	478
780	1697	476
781	1699	473
782	1701	471
783	1703	469
784	1706	467
785	1708	465
786	1710	462
787	1712	460
788	1714	458
789	1716	456
790	1718	454
791	1720	451
792	1723	449
793	1725	447
794	1727	445
795	1729	443
796	1731	440
797	1733	438
798	1735	436
799	1737	434
800	1739	432
801	1741	429
802	1743	427
803	1745	425
804	1747	423
805	1750	421
806	1752	419
807	1755	417
808	1757	414
809	1759	412
810	1761	410
811	1763	408
812	1765	405
813	1767	403
814	1769	401
815	1770	399
816	1772	397
817	1774	394
818	1776	392
819	1778	390
820	1780	388
821	1782	385
822	1784	383
823	1786	381
824	1789	379
825	1791	377
826	1793	375
827	1795	373
828	1797	370
829	1799	368
830	1801	366
831	1804	364
832	1806	362
833	1808	359
834	1810	357
835	1812	355
836	1814	353
837	1816	351
838	1818	348
839	1820	346
840	1822	344
841	1824	342
842	1826	340
843	1828	337
844	1830	335
845	1832	333
846	1835	331
847	1837	329
848	1839	327
849	1841	324
850	1843	322
851	1845	320
852	1847	318
853	1849	316
854	1851	313
855	1853	311
856	1855	309
857	1857	307
858	1859	305
859	1861	303
860	1863	300
861	1865	298
862	1867	296
863	1869	294
864	1871	292
865	1873	289
866	1875	287
867	1877	285
868	1880	283
869	1882	281
870	1884	279
871	1886	276
872	1888	274
873	1891	272
874	1893	270
875	1895	268
876	1898	266
877	1900	264
878	1902	261
879	1904	259
880	1906	257
881	1908	255
882	1910	253
883	1912	250
884	1914	248
885	1916	246
886	1919	244
887	1921	242
888	1923	240
889	1925	237
890	1927	235
891	1929	233
892	1931	231
893	1933	229
894	1935	227
895	1938	224
896	1940	222
897	1942	220
898	1945	218
899	1949	216
900	1952	214
901	1955	212
902	1957	210
903	1959	208
904	1962	205
905	1964	203
906	1967	201
907	1969	199
908	1972	197
909	1974	195
910	1977	193
911	1979	190
912	1981	188
913	1983	186
914	1985	184
915	1987	182
916	1990	180
917	1992	177
918	1994	175
919	1996	173
920	1998	171
921	2002	169
922	2004	167
923	2006	165
924	2008	162
925	2010	160
926	2012	158
927	2015	156
928	2017	154
929	2019	151
930	2021	149
931	2023	147
932	2025	145
933	2027	143
934	2029	141
935	2031	138
936	2034	136
937	2036	134
938	2038	132
939	2040	130
940	2042	128
941	2044	125
942	2046	123
943	2048	121
944	2050	119
945	2052	117
946	2054	114
947	2056	112
948	2058	110
949	2060	108
950	2062	106
951	2065	104
952	2067	101
953	2069	99
954	2071	97
955	2073	95
956	2075	93
957	2077	91
958	2079	88
959	2081	86
960	2083	84
961	2085	82
962	2087	80
963	2090	78
964	2092	75
965	2094	73
966	2095	71
967	2097	69
968	2099	67
969	2101	65
970	2103	62
971	2105	60
972	2107	58
973	2109	56
974	2111	54
975	2113	51
976	2116	49
977	2117	47
978	2120	45
979	2122	43
980	2124	41
981	2126	38
982	2128	36
983	2130	34
984	2132	32
985	2134	30
986	2136	28
987	2138	25
988	2140	23
989	2143	21
990	2145	19
991	2147	17
992	2149	15
993	2151	12
994	2153	10
995	2156	8
996	2158	6
997	2160	4
998	2162	2
999	2164	0
