min_sup,min_coef,output,flag,username,timestamp
0.4,0.6,"{""headers"":[""antecedents"",""consequents"",""support"",""confidence"",""lift""],""data"":[[""frozenset({'Red'})"",""frozenset({'Blue'})"",0.4,0.6666666666666667,1.1111111111111114],[""frozenset({'Blue'})"",""frozenset({'Red'})"",0.4,0.6666666666666667,1.1111111111111114]],""metadata"":null}",,,2023-11-19 03:15:58.832152
0.3101,0.6001,"{""headers"":[""antecedents"",""consequents"",""support"",""confidence"",""lift""],""data"":[[""frozenset({'Eye shadow'})"",""frozenset({'Mascara'})"",0.321,0.8425196850393701,2.3599991177573396],[""frozenset({'Mascara'})"",""frozenset({'Eye shadow'})"",0.321,0.8991596638655462,2.359999117757339],[""frozenset({'Foundation'})"",""frozenset({'Lip Gloss'})"",0.356,0.6641791044776119,1.3554675601583916],[""frozenset({'Lip Gloss'})"",""frozenset({'Foundation'})"",0.356,0.7265306122448979,1.3554675601583914]],""metadata"":null}",,,2023-11-19 03:18:13.858611
